Persona,TargetClearRate,ActualClearRate,ErrorRate,Cooldown,Entropy,Weight1,Weight2,Weight3,Weight4
Intermediate,0.5,0.07,0.43,0.9236198,1.949533,0.3,0.15,0.23,0.31
Intermediate,0.5,0.08,0.42,1.002037,1.98185,0.22,0.2,0.28,0.3
Intermediate,0.5,0.06,0.44,0.9130343,1.934706,0.33,0.14,0.3,0.22
Intermediate,0.5,0.01,0.49,0.9993222,1.973634,0.21,0.32,0.27,0.2
Intermediate,0.5,0.14,0.36,1.049513,1.94461,0.32,0.32,0.21,0.16
Intermediate,0.5,0.03,0.47,0.9698597,1.898048,0.25,0.14,0.22,0.4
Intermediate,0.5,0.4,0.09999999,1.328444,1.934595,0.29,0.14,0.34,0.23
Intermediate,0.5,0.06,0.44,0.6674156,1.996578,0.25,0.27,0.22,0.26
Intermediate,0.5,0.69,0.19,2.245729,1.976386,0.28,0.22,0.31,0.19
Intermediate,0.5,0.2,0.3,1.17529,1.969544,0.28,0.2,0.32,0.2
Intermediate,0.5,0.4,0.09999999,1.276716,1.944876,0.31,0.16,0.32,0.22
Intermediate,0.5,0.24,0.26,1.17781,1.955328,0.2,0.36,0.21,0.23
Intermediate,0.5,0.1,0.4,1.108476,1.989604,0.28,0.27,0.24,0.2
